Time,Acc,Prs
5.21,514,701
5.215,514,701
5.22,514,701
5.225,514,701
5.23,514,701
5.235,515,701
5.24,514,700
5.245,514,701
5.25,514,700
5.255,514,700
5.26,514,700
5.265,514,700
5.27,514,700
5.275,514,701
5.28,514,700
5.285,514,700
5.29,514,700
5.295,514,700
5.3,514,700
5.305,514,700
5.31,514,700
5.315,514,700
5.32,514,700
5.325,515,700
5.33,514,700
5.335,514,700
5.34,514,700
5.345,514,700
5.35,514,700
5.355,514,700
5.36,514,700
5.365,515,700
5.37,514,700
5.375,514,700
5.38,514,700
5.385,514,700
5.39,514,700
5.395,514,700
5.4,514,700
5.405,514,700
5.41,514,700
5.415,514,699
5.42,514,700
5.425,514,699
5.43,514,700
5.435,514,700
5.44,514,699
5.445,514,699
5.45,514,699
5.455,513,699
5.46,513,699
5.465,513,699
5.47,514,699
5.475,514,699
5.48,513,699
5.485,514,699
5.49,514,699
5.495,513,699
5.5,514,699
5.505,513,699
5.51,514,699
5.515,514,699
5.52,513,699
5.525,514,699
5.53,513,699
5.535,514,699
5.54,514,699
5.545,514,699
5.55,514,699
5.555,514,699
5.56,514,699
5.565,514,699
5.57,513,699
5.575,514,699
5.58,514,699
5.585,514,699
5.59,514,699
5.595,513,698
5.6,514,698
5.605,514,699
5.61,514,699
5.615,514,698
5.62,513,698
5.625,514,699
5.63,514,698
5.635,514,698
5.64,513,698
5.645,514,698
5.65,513,698
5.655,515,698
5.66,514,698
5.665,514,698
5.67,513,698
5.675,514,698
5.68,513,698
5.685,514,698
5.69,514,697
5.695,513,698
5.7,514,698
5.705,514,698
5.71,514,698
5.715,513,698
5.72,513,698
5.725,513,698
5.73,514,698
5.735,514,698
5.74,514,697
5.745,514,698
5.75,513,698
5.755,513,697
5.76,514,698
5.765,513,697
5.77,513,697
5.775,513,698
5.78,513,697
5.785,514,698
5.79,513,697
5.795,513,697
5.8,513,698
5.805,513,697
5.81,514,697
5.815,513,697
5.82,514,697
5.825,514,697
5.83,514,697
5.835,514,697
5.84,514,697
5.845,514,697
5.85,514,697
5.855,513,697
5.86,514,697
5.865,514,697
5.87,513,697
5.875,514,697
5.88,513,697
5.885,513,697
5.89,514,697
5.895,514,697
5.9,514,697
5.905,514,697
5.91,514,697
5.915,514,697
5.92,514,697
5.925,514,697
5.93,514,697
5.935,514,697
5.94,514,697
5.945,514,697
5.95,514,697
5.955,513,697
5.96,514,697
5.965,514,697
5.97,514,697
5.975,514,697
5.98,514,697
5.985,513,697
5.99,513,697
5.995,514,696
6,514,696
6.005,514,696
6.01,513,696
6.015,514,696
6.02,514,696
6.025,514,696
6.03,514,696
6.035,514,696
6.04,514,696
6.045,514,696
6.05,514,696
6.055,514,696
6.06,513,696
6.065,514,696
6.07,513,696
6.075,513,696
6.08,514,696
6.085,514,696
6.09,514,696
6.095,513,696
6.1,514,696
6.105,513,696
6.11,513,696
6.115,514,696
6.12,514,696
6.125,513,696
6.13,513,696
6.135,513,696
6.14,513,696
6.145,513,696
6.15,514,696
6.155,513,695
6.16,513,695
6.165,513,696
6.17,513,696
6.175,513,696
6.18,513,695
6.185,513,696
6.19,513,696
6.195,513,695
6.2,513,696
6.205,513,695
6.21,513,695
6.215,513,696
6.22,513,695
6.225,513,695
6.23,514,696
6.235,513,695
6.24,514,695
6.245,514,695
6.25,513,695
6.255,513,695
6.26,513,695
6.265,514,695
6.27,513,695
6.275,513,695
6.28,513,695
6.285,514,695
6.29,513,695
6.295,514,695
6.3,513,695
6.305,514,695
6.31,513,695
6.315,513,695
6.32,513,695
6.325,514,695
6.33,513,695
6.335,513,695
6.34,513,695
6.345,513,695
6.35,513,695
6.355,514,695
6.36,514,694
6.365,513,695
6.37,513,695
6.375,513,695
6.38,513,695
6.385,513,695
6.39,514,694
6.395,513,694
6.4,513,694
6.405,513,694
6.41,513,694
6.415,513,694
6.42,514,694
6.425,513,694
6.43,513,694
6.435,513,694
6.44,513,694
6.445,513,694
6.45,513,694
6.455,513,694
6.46,513,694
6.465,513,694
6.47,513,695
6.475,513,694
6.48,513,694
6.485,513,694
6.49,513,694
6.495,513,694
6.5,513,694
6.505,513,694
6.51,513,694
6.515,513,694
6.52,513,694
6.525,513,694
6.53,513,694
6.535,513,694
6.54,513,694
6.545,513,694
6.55,513,694
6.555,513,694
6.56,513,694
6.565,513,693
6.57,513,694
6.575,513,694
6.58,513,693
6.585,514,694
6.59,513,693
6.595,513,694
6.6,513,694
6.605,513,694
6.61,513,693
6.615,513,694
6.62,514,693
6.625,513,694
6.63,513,694
6.635,513,694
6.64,514,694
6.645,514,693
6.65,513,694
6.655,513,694
6.66,514,693
6.665,513,693
6.67,513,693
6.675,513,693
6.68,513,693
6.685,514,693
6.69,514,693
6.695,514,693
6.7,514,693
6.705,513,693
6.71,513,693
6.715,513,693
6.72,514,693
6.725,513,693
6.73,513,693
6.735,513,693
6.74,513,693
6.745,513,693
6.75,513,693
6.755,513,693
6.76,513,693
6.765,513,693
6.77,513,693
6.775,513,693
6.78,514,693
6.785,513,693
6.79,513,693
6.795,513,693
6.8,513,693
6.805,513,693
6.81,513,693
6.815,513,693
6.82,513,693
6.825,513,693
6.83,514,693
6.835,513,693
6.84,513,693
6.845,514,692
6.85,513,693
6.855,513,693
6.86,513,693
6.865,513,692
6.87,513,693
6.875,513,692
6.88,513,692
6.885,514,692
6.89,513,692
6.895,513,692
6.9,514,692
6.905,513,692
6.91,513,692
6.915,513,692
6.92,513,692
6.925,514,692
6.93,513,692
6.935,514,692
6.94,513,692
6.945,513,692
6.95,513,692
6.955,513,692
6.96,513,692
6.965,513,692
6.97,513,692
6.975,513,692
6.98,513,692
6.985,513,692
6.99,513,692
6.995,513,692
7,513,692
7.005,513,692
7.01,513,692
7.015,513,692
7.02,513,692
7.025,513,692
7.03,513,692
7.035,513,692
7.04,513,692
7.045,513,692
7.05,513,692
7.055,513,692
7.06,512,692
7.065,513,691
7.07,512,692
7.075,513,691
7.08,513,692
7.085,513,692
7.09,513,692
7.095,513,692
7.1,513,691
7.105,513,692
7.11,513,692
7.115,513,692
7.12,513,691
7.125,513,692
7.13,513,692
7.135,513,692
7.14,513,691
7.145,513,691
7.15,513,691
7.155,513,691
7.16,513,691
7.165,513,691
7.17,513,691
7.175,513,691
7.18,513,691
7.185,513,691
7.19,513,691
7.195,513,691
7.2,513,691
7.205,513,691
7.21,513,691
7.215,513,691
7.22,513,691
7.225,513,691
7.23,513,691
7.235,513,691
7.24,513,691
7.245,513,691
7.25,513,691
7.255,513,691
7.26,513,691
7.265,513,691
7.27,512,691
7.275,513,690
7.28,513,691
7.285,513,691
7.29,513,690
7.295,513,691
7.3,513,691
7.305,513,691
7.31,513,691
7.315,512,691
7.32,513,691
7.325,513,691
7.33,512,691
7.335,513,691
7.34,513,691
7.345,513,691
7.35,513,691
7.355,513,690
7.36,513,690
7.365,513,690
7.37,513,690
7.375,512,690
7.38,513,690
7.385,513,690
7.39,512,690
7.395,512,690
7.4,512,691
7.405,513,690
7.41,513,691
7.415,513,690
7.42,513,690
7.425,513,691
7.43,513,690
7.435,513,690
7.44,513,690
7.445,513,690
7.45,513,690
7.455,513,690
7.46,513,690
7.465,512,690
7.47,513,690
7.475,513,690
7.48,513,690
7.485,513,690
7.49,513,690
7.495,513,690
7.5,513,690
7.505,514,690
7.51,513,690
7.515,513,690
7.52,513,690
7.525,513,690
7.53,513,690
7.535,513,690
7.54,513,690
7.545,513,690
7.55,514,690
7.555,513,690
7.56,513,690
7.565,513,690
7.57,513,690
7.575,513,690
7.58,513,690
7.585,513,690
7.59,513,690
7.595,513,690
7.6,513,690
7.605,513,690
7.61,513,690
7.615,513,690
7.62,513,690
7.625,513,690
7.63,513,690
7.635,513,690
7.64,513,690
7.645,513,689
7.65,513,690
7.655,513,690
7.66,513,690
7.665,513,690
7.67,513,689
7.675,513,689
7.68,513,690
7.685,513,690
7.69,513,689
7.695,513,690
7.7,513,689
7.705,513,690
7.71,513,690
7.715,513,689
7.72,513,689
7.725,512,689
7.73,513,689
7.735,513,689
7.74,513,689
7.745,513,689
7.75,513,689
7.755,513,689
7.76,513,689
7.765,513,690
7.77,513,689
7.775,513,689
7.78,513,689
7.785,513,689
7.79,513,689
7.795,513,689
7.8,513,689
7.805,513,689
7.81,513,689
7.815,513,689
7.82,513,689
7.825,513,689
7.83,513,689
7.835,512,689
7.84,513,689
7.845,513,689
7.85,513,689
7.855,512,689
7.86,513,689
7.865,512,689
7.87,513,689
7.875,513,689
7.88,513,689
7.885,512,689
7.89,513,689
7.895,513,689
7.9,513,689
7.905,513,689
7.91,513,689
7.915,512,689
7.92,513,689
7.925,513,689
7.93,513,689
7.935,513,689
7.94,513,689
7.945,512,689
7.95,513,689
7.955,513,689
7.96,513,689
7.965,513,689
7.97,512,688
7.975,513,688
7.98,512,688
7.985,512,688
7.99,512,688
7.995,512,689
8,512,689
8.005,512,688
8.01,513,688
8.015,512,688
8.02,512,688
8.025,512,689
8.03,512,689
8.035,512,688
8.04,512,688
8.045,512,688
8.05,513,688
8.055,513,688
8.06,512,689
8.065,512,688
8.07,513,689
8.075,513,688
8.08,512,688
8.085,512,689
8.09,512,688
8.095,512,688
8.1,512,688
8.105,512,688
8.11,513,688
8.115,513,688
8.12,513,688
8.125,513,688
8.13,513,688
8.135,513,688
8.14,513,688
8.145,513,688
8.15,512,688
8.155,513,688
8.16,513,688
8.165,512,688
8.17,513,688
8.175,513,688
8.18,512,688
8.185,513,688
8.19,513,688
8.195,513,688
8.2,513,688
8.205,513,688
8.21,513,688
8.215,513,688
8.22,513,688
8.225,513,688
8.23,513,688
8.235,513,688
8.24,513,688
8.245,513,688
8.25,513,688
8.255,513,688
8.26,513,688
8.265,513,688
8.27,512,688
8.275,512,688
8.28,512,688
8.285,513,688
8.29,513,688
8.295,512,688
8.3,512,688
8.305,513,688
8.31,513,688
8.315,512,688
8.32,513,688
8.325,513,688
8.33,512,688
8.335,512,688
8.34,513,687
8.345,512,688
8.35,513,688
8.355,512,688
8.36,513,687
8.365,513,688
8.37,512,687
8.375,513,688
8.38,512,687
8.385,512,687
8.39,513,687
8.395,512,687
8.4,513,687
8.405,512,687
8.41,512,687
8.415,513,687
8.42,512,687
8.425,513,687
8.43,512,687
8.435,512,687
8.44,513,687
8.445,512,687
8.45,512,687
8.455,513,687
8.46,512,687
8.465,512,687
8.47,512,687
8.475,512,687
8.48,512,687
8.485,512,687
8.49,512,687
8.495,512,687
8.5,512,687
8.505,512,687
8.51,513,687
8.515,512,687
8.52,512,687
8.525,513,687
8.53,512,687
8.535,512,687
8.54,512,687
8.545,512,687
8.55,513,687
8.555,512,687
8.56,512,687
8.565,512,687
8.57,512,687
8.575,512,687
8.58,512,687
8.585,513,687
8.59,512,687
8.595,512,687
8.6,513,687
8.605,513,687
8.61,512,687
8.615,512,687
8.62,512,687
8.625,513,687
8.63,512,687
8.635,512,687
8.64,512,687
8.645,512,687
8.65,512,687
8.655,512,687
8.66,512,687
8.665,513,687
8.67,513,687
8.675,513,687
8.68,512,687
8.685,512,687
8.69,513,687
8.695,513,687
8.7,513,687
8.705,513,687
8.71,513,687
8.715,513,687
8.72,513,687
8.725,513,687
